soru,cevap,intent
Merhaba,Merhaba! ModaDünyası'na hoş geldiniz 🎉 Size nasıl yardımcı olabilirim?,greeting
Selam,Selam! Bugün ne tarz bir kıyafet bakıyorsunuz?,greeting
Hey,Merhaba! Size yardımcı olmak için buradayım.,greeting
Günaydın,Günaydın! Güne şık başlamak için doğru yerdesiniz.,greeting
İyi akşamlar,İyi akşamlar! Size nasıl yardımcı olabilirim?,greeting
Nasılsın,Ben bir yapay zekayım ama harika hissediyorum! Siz nasılsınız?,greeting
Kimsin,Ben ModaDünyası'nın akıllı asistanıyım. Size en uygun ürünleri bulmak için buradayım.,greeting
Selamın aleyküm,Aleyküm selam! Hoş geldiniz.,greeting
Mrb,Merhaba! Size nasıl destek olabilirim?,greeting
Slm,Selamlar! Ne arıyorsunuz bugün?,greeting
Ne yapabilirsin,"Ürün arayabilirim, kombin önerebilirim, kargo ve iade sorularınızı yanıtlayabilirim.",help
Yardım et,Tabii! Ne konuda yardıma ihtiyacınız var? Ürün mü arıyorsunuz?,help
Nasıl çalışıyorsun,Bana 'Kırmızı elbise göster' veya 'Yazlık kombin öner' gibi sorular sorabilirsiniz.,help
Bana yardım et,"Elbette, size moda konusunda asistanlık yapabilirim. Neye ihtiyacınız var?",help
Özelliklerin neler,"Fiyat sorabilir, ürün aratabilir, kombin isteyebilir veya mağaza politikalarını öğrenebilirsiniz.",help
Kargo ne kadar,📦 500 TL üzeri alışverişlerde kargo bedava! Altındaki siparişler için 39.90 TL.,general_info
Kargo süresi,📦 Siparişleriniz 24 saat içinde kargoya verilir. Teslimat 1-3 iş günü sürer.,general_info
İade var mı,"🔄 Evet, 14 gün içinde ücretsiz iade hakkınız var.",general_info
Değişim yapıyor musunuz,"🔄 Evet, beden veya renk değişimi yapabilirsiniz.",general_info
Ödeme yöntemleri,"💳 Kredi kartı, kapıda ödeme ve havale ile ödeme yapabilirsiniz.",general_info
Mağaza nerede,📍 Mağazamız İstanbul Kadıköy'de. Bekleriz!,general_info
İletişim,📞 Bize 0850 123 45 67 numarasından ulaşabilirsiniz.,general_info
Kapıda ödeme var mı,"💳 Evet, kapıda ödeme seçeneğimiz mevcut (+15 TL hizmet bedeli).",general_info
Hangi kargo,📦 Aras Kargo ve Yurtiçi Kargo ile çalışıyoruz.,general_info
Kırmızı Yazlık Çiçekli Elbise,"🏷️ **Kırmızı Yazlık Çiçekli Elbise**
💰 Fiyat: 454.99 TL
🎨 Renk: Kırmızı
📦 Stoklarımızda mevcut.
📝 Sıcak yaz akşamlarında rüzgarı hissettiren, üzerinizde yokmuş gibi hafif, ferahlatıcı dokuya sahip, kırmızı zemin üzerine serpiştirilmiş beyaz papatyalarla neşe saçan askılı mini elbise. Plajda güneşin tadını çıkarırken veya şehirde keyifli bir yürüyüşte size eşlik edecek enerjik bir parça.",search
Kırmızı Yazlık Çiçekli Elbise fiyatı,"🏷️ **Kırmızı Yazlık Çiçekli Elbise**
💰 Fiyat: 454.99 TL
🎨 Renk: Kırmızı
📦 Stoklarımızda mevcut.
📝 Sıcak yaz akşamlarında rüzgarı hissettiren, üzerinizde yokmuş gibi hafif, ferahlatıcı dokuya sahip, kırmızı zemin üzerine serpiştirilmiş beyaz papatyalarla neşe saçan askılı mini elbise. Plajda güneşin tadını çıkarırken veya şehirde keyifli bir yürüyüşte size eşlik edecek enerjik bir parça.",search
Kırmızı Yazlık Çiçekli Elbise ne kadar,"🏷️ **Kırmızı Yazlık Çiçekli Elbise**
💰 Fiyat: 454.99 TL
🎨 Renk: Kırmızı
📦 Stoklarımızda mevcut.
📝 Sıcak yaz akşamlarında rüzgarı hissettiren, üzerinizde yokmuş gibi hafif, ferahlatıcı dokuya sahip, kırmızı zemin üzerine serpiştirilmiş beyaz papatyalarla neşe saçan askılı mini elbise. Plajda güneşin tadını çıkarırken veya şehirde keyifli bir yürüyüşte size eşlik edecek enerjik bir parça.",search
